performer
Lys Assia
Jetty Paerl
Fud Leclerc
Walter Andreas Schwarz
Mathé Altéry
Michèle Arnaud
Franca Raimondi
Corry Brokken
Mony Marc
Freddy Quinn
Dany Dauberson
Tonina Torielli
Paule Desjardins
Birthe Wilke & Gustav Winckler
Danièle Dupré
Margot Hielscher
Nunzio Gallo
Patricia Bredin
Bobbejaan Schoepen
Bob Martin
André Claveau
Domenico Modugno
Alice Babs
Liane Augustin
Raquel Rastenni
Solange Berry
Teddy Scholten
Pearl Carr & Teddy Johnson
Jean Philippe
Christa Williams
Birthe Wilke
Bob Benny
Alice and Ellen Kessler
Brita Borg
Ferry Graf
Jacques Pills
Jacqueline Boyer
Bryan Johnson
François Deguelt
Nora Brockstedt
Wyn Hoop
Harry Winter
Anita Traversi
Renato Rascel
Siw Malmkvist
Katy Bødtger
Rudi Carrell
Camillo Felgen
Jean-Claude Pascal
The Allisons
Franca di Rienzo
Jean-Paul Mauric
Dario Campeotto
Betty Curtis
Ljiljana Petrović
Conchita Bautista
Colette Deréal
Laila Kinnunen
Greetje Kauffeld
Lale Andersen
Lill-Babs
Jimmy Makulis
Isabelle Aubret
Lola Novaković
Ronnie Carroll
Conny Froboess
Marion Rung
Inger Berggren
Claudio Villa
Ellen Winther
Inger Jacobsen
Victor Balaguer
Eleonore Schwarz
De Spelbrekers
Grethe & Jørgen Ingmann
Esther Ofarim
Emilio Pericoli
Alain Barrière
Françoise Hardy
Carmela Corren
Nana Mouskouri
Heidi Brühl
Jacques Raymond
Vice Vukov
José Guardiola
Annie Palmen
Anita Thallaug
Laila Halme
Monica Zetterlund
Gigliola Cinquetti
Matt Monro
Romuald
Hugues Aufray
Rachel
Udo Jürgens
Lasse Mårtenson
Arne Bendiksen
Bjørn Tidmand
Anneke Grönloh
Robert Cogoi
Tim Nelly and Tony
Nora Nova
António Calvário
Sabahudin Kurt
France Gall
Kathy Kirby
Guy Mardel
Bobby Solo
Butch Moore
Birgit Brüel
Yovanna
Marjorie Noël
Ingvar Wixell
Conny Van den bos
Kirsti Sparboe
Simone de Oliviera
Ulla Wiesner
Lize Marke
Viktor Klimenko
Lill Lindfors & Svante Thuresson
Åse Kleveland
Tonia
Dickie Rock
Madeleine Pascal
Berta Ambroz
Raphael
Kenneth McKellar
Margot Eskens
Michèle Torr
Ann-Christine Nyström
Madalena Iglesias
Ulla Pia
Milly Scott
Dominique Walter
Tereza
Sandie Shaw
Sean Dunphy
Noëlle Cordier
Vicky
Minouche Barelli
Louis Neefs
Östen Warnerbring
Inge Brück
Lado Leskovar
Eduardo Nascimento
Fredi
Thérèse Steinmetz
Peter Horten
Géraldine
Massiel
Cliff Richard
Pat McGeegan
Claes-Göran Hederström
Wencke Myhre
Claude Lombard
Line & Willy
Luci Kapurso & Hamo Hajdarhodzic
Sergio Endrigo
Carlos Mendes
Chris Baldo & Sophie Garel
Karel Gott
Gianni Mascolo
Odd Børre
Ronnie Tober
Kristina Hautala
Salomé
Lulu
Lenny Kuhr
Frida Boccara
Paola del Medico
Jean-Jacques
Muriel Day and the Lindsays
Tommy Körberg
Jarkko and Laura
Ivan & M's
Iva Zanicchi
Simone de Oliveira
Dana
Mary Hopkin
Katja Ebstein
Henri Dès
Guy Bonnet
Julio Iglesias
Patricia and Hearts of Soul
Gianni Morandi
Jean Vallée
Dominique Dussault
Eva Sršen
David-Alexandre Winter
Séverine
Karina
Clodagh Rodgers
Massimo Ranieri
Family Four
Saskia and Serge
Markku Aro and Koivisto Sisters
