,year,to_country,performer,song,place_final,points_final
0,1956,Switzerland,Lys Assia,Refrain,2.0,
1,1956,Netherlands,Jetty Paerl,De Vogels Van Holland,2.0,
2,1956,Belgium,Fud Leclerc,Messieurs Les Noyés De La Seine,2.0,
3,1956,Germany,Walter Andreas Schwarz,Im Wartesaal Zum Großen Glück,2.0,
4,1956,France,Mathé Altéry,Le Temps Perdu,2.0,
5,1956,Luxembourg,Michèle Arnaud,Ne Crois Pas,2.0,
6,1956,Italy,Franca Raimondi,Aprite Le Finestre,2.0,
7,1956,Netherlands,Corry Brokken,Voorgoed Voorbij,2.0,
8,1956,Belgium,Mony Marc,Le Plus Beau Jour De Ma Vie,2.0,
9,1956,Germany,Freddy Quinn,So Geht Das Jede Nacht,2.0,
10,1956,France,Dany Dauberson,Il Est Là,2.0,
11,1956,Italy,Tonina Torielli,Amami Se Vuoi,2.0,
12,1957,Netherlands,Corry Brokken,Net Als Toen,1.0,31.0
13,1957,France,Paule Desjardins,La Belle Amour,2.0,17.0
14,1957,Denmark,Birthe Wilke & Gustav Winckler,Skibet Skal Sejle I Nat,3.0,10.0
15,1957,Luxembourg,Danièle Dupré,Amours Mortes (Tant De Peine),4.0,8.0
16,1957,Germany,Margot Hielscher,"Telefon, Telefon",4.0,8.0
17,1957,Italy,Nunzio Gallo,Corde Della Mia Chitarra,6.0,7.0
18,1957,United Kingdom,Patricia Bredin,All,7.0,6.0
19,1957,Belgium,Bobbejaan Schoepen,Straatdeuntje,8.0,5.0
20,1957,Switzerland,Lys Assia,L'enfant Que J'étais,8.0,5.0
21,1957,Austria,Bob Martin,"Wohin, Kleines Pony",10.0,3.0
22,1958,France,André Claveau,Dors Mon Amour,1.0,27.0
23,1958,Switzerland,Lys Assia,Giorgio,2.0,24.0
24,1958,Italy,Domenico Modugno,Nel Blu Dipinto Di Blu,3.0,13.0
25,1958,Sweden,Alice Babs,Lilla Stjärna,4.0,10.0
26,1958,Belgium,Fud Leclerc,Ma Petite Chatte,5.0,8.0
27,1958,Austria,Liane Augustin,Die Ganze Welt Braucht Liebe,5.0,8.0
28,1958,Germany,Margot Hielscher,Für Zwei Groschen Musik,7.0,5.0
29,1958,Denmark,Raquel Rastenni,Jeg Rev Et Blad Ud Af Min Dagbog,8.0,3.0
30,1958,Netherlands,Corry Brokken,Heel De Wereld,9.0,1.0
31,1958,Luxembourg,Solange Berry,Un Grand Amour,9.0,1.0
32,1959,Netherlands,Teddy Scholten,Een Beetje,1.0,21.0
33,1959,United Kingdom,Pearl Carr & Teddy Johnson,Sing Little Birdie,2.0,16.0
34,1959,France,Jean Philippe,"Oui, Oui, Oui, Oui",3.0,15.0
35,1959,Switzerland,Christa Williams,Irgendwoher,4.0,14.0
36,1959,Denmark,Birthe Wilke,"Uh, Jeg Ville Ønske Jeg Var Dig",5.0,12.0
37,1959,Italy,Domenico Modugno,Piove,6.0,9.0
38,1959,Belgium,Bob Benny,Hou Toch Van Mij,6.0,9.0
39,1959,Germany,Alice and Ellen Kessler,Heut' Woll'n Wir Tanzen Geh'n,8.0,5.0
40,1959,Sweden,Brita Borg,Augustin,9.0,4.0
41,1959,Austria,Ferry Graf,Der K. Und K. Kalypso Aus Wien,9.0,4.0
42,1959,Monaco,Jacques Pills,Mon Ami Pierrot,11.0,1.0
43,1960,France,Jacqueline Boyer,Tom Pillibi,1.0,32.0
44,1960,United Kingdom,Bryan Johnson,"Looking High, High, High",2.0,25.0
45,1960,Monaco,François Deguelt,Ce Soir-là,3.0,15.0
46,1960,Norway,Nora Brockstedt,Voi-voi,4.0,11.0
47,1960,Germany,Wyn Hoop,"Bonne Nuit, Ma Chérie!",4.0,11.0
48,1960,Belgium,Fud Leclerc,Mon Amour Pour Toi,6.0,9.0
49,1960,Austria,Harry Winter,Du Hast Mich So Fasziniert,7.0,6.0
50,1960,Switzerland,Anita Traversi,Cielo E Terra,8.0,5.0
51,1960,Italy,Renato Rascel,Romantica,8.0,5.0
52,1960,Sweden,Siw Malmkvist,Alla Andra Får Varann,10.0,4.0
53,1960,Denmark,Katy Bødtger,Det Var En Yndig Tid,10.0,4.0
54,1960,Netherlands,Rudi Carrell,Wat Een Geluk,12.0,2.0
55,1960,Luxembourg,Camillo Felgen,So Laang We's Du Do Bast,13.0,1.0
56,1961,Luxembourg,Jean-Claude Pascal,Nous Les Amoureux,1.0,31.0
57,1961,United Kingdom,The Allisons,Are You Sure?,2.0,24.0
58,1961,Switzerland,Franca di Rienzo,Nous Aurons Demain,3.0,16.0
59,1961,France,Jean-Paul Mauric,Printemps (avril Carillonne),4.0,13.0
60,1961,Denmark,Dario Campeotto,Angelique,5.0,12.0
61,1961,Italy,Betty Curtis,Al Di Là,5.0,12.0
62,1961,Norway,Nora Brockstedt,Sommer i Palma,7.0,10.0
63,1961,Yugoslavia,Ljiljana Petrović,Neke Davne Zvezde,8.0,9.0
64,1961,Spain,Conchita Bautista,Estando Contigo,9.0,8.0
65,1961,Monaco,Colette Deréal,"Allons, Allons Les Enfants",10.0,6.0
66,1961,Finland,Laila Kinnunen,Valoa Ikkunassa,10.0,6.0
67,1961,Netherlands,Greetje Kauffeld,Wat Een Dag,10.0,6.0
68,1961,Germany,Lale Andersen,Einmal Sehen Wir Uns Wieder,13.0,3.0
69,1961,Sweden,Lill-Babs,"April, April",14.0,2.0
70,1961,Austria,Jimmy Makulis,Sehnsucht,15.0,1.0
71,1961,Belgium,Bob Benny,"September, Gouden Roos",15.0,1.0
72,1962,France,Isabelle Aubret,Un Premier Amour,1.0,26.0
73,1962,Monaco,François Deguelt,Dis Rien,2.0,13.0
74,1962,Luxembourg,Camillo Felgen,Petit Bonhomme,3.0,11.0
75,1962,Yugoslavia,Lola Novaković,Ne Pali Svetlo U Sumrak,4.0,10.0
76,1962,United Kingdom,Ronnie Carroll,Ring-a-ding Girl,4.0,10.0
77,1962,Germany,Conny Froboess,Zwei Kleine Italiener,6.0,9.0
78,1962,Finland,Marion Rung,Tipi-tii,7.0,4.0
79,1962,Sweden,Inger Berggren,Sol Och Vår,7.0,4.0
80,1962,Italy,Claudio Villa,"Addio, Addio",9.0,3.0
81,1962,Denmark,Ellen Winther,Vuggevise,10.0,2.0
82,1962,Norway,Inger Jacobsen,"Kom Sol, Kom Regn",10.0,2.0
83,1962,Switzerland,Jean Philippe,Le Retour,10.0,2.0
84,1962,Belgium,Fud Leclerc,Ton Nom,13.0,0.0
85,1962,Spain,Victor Balaguer,Llámame,13.0,0.0
86,1962,Austria,Eleonore Schwarz,Nur In Der Wiener Luft,13.0,0.0
87,1962,Netherlands,De Spelbrekers,Katinka,13.0,0.0
88,1963,Denmark,Grethe & Jørgen Ingmann,Dansevise,1.0,42.0
89,1963,Switzerland,Esther Ofarim,T'en Va Pas,2.0,40.0
90,1963,Italy,Emilio Pericoli,Uno Per Tutte,3.0,37.0
91,1963,United Kingdom,Ronnie Carroll,Say Wonderful Things,4.0,28.0
92,1963,France,Alain Barrière,Elle était Si Jolie,5.0,25.0
93,1963,Monaco,Françoise Hardy,L'amour S'en Va,5.0,25.0
94,1963,Austria,Carmela Corren,Vielleicht Geschieht Ein Wunder,7.0,16.0
