Corry Brokken,1957,Netherlands,Net Als Toen
Paule Desjardins,1957,France,La Belle Amour
Birthe Wilke & Gustav Winckler,1957,Denmark,Skibet Skal Sejle I Nat
Danièle Dupré,1957,Luxembourg,Amours Mortes (Tant De Peine)
Margot Hielscher,1957,Germany,Telefon Telefon
Nunzio Gallo,1957,Italy,Corde Della Mia Chitarra
Patricia Bredin,1957,United Kingdom,All
Bobbejaan Schoepen,1957,Belgium,Straatdeuntje
Lys Assia,1957,Switzerland,L'enfant Que J'étais
Bob Martin,1957,Austria,Wohin Kleines Pony
André Claveau,1958,France,Dors Mon Amour
Lys Assia,1958,Switzerland,Giorgio
Domenico Modugno,1958,Italy,Nel Blu Dipinto Di Blu
Alice Babs,1958,Sweden,Lilla Stjärna
Fud Leclerc,1958,Belgium,Ma Petite Chatte
Liane Augustin,1958,Austria,Die Ganze Welt Braucht Liebe
Margot Hielscher,1958,Germany,Für Zwei Groschen Musik
Raquel Rastenni,1958,Denmark,Jeg Rev Et Blad Ud Af Min Dagbog
Corry Brokken,1958,Netherlands,Heel De Wereld
Solange Berry,1958,Luxembourg,Un Grand Amour
Teddy Scholten,1959,Netherlands,Een Beetje
Pearl Carr & Teddy Johnson,1959,United Kingdom,Sing Little Birdie
Jean Philippe,1959,France,Oui Oui Oui Oui
Christa Williams,1959,Switzerland,Irgendwoher
Birthe Wilke,1959,Denmark,Uh Jeg Ville Ønske Jeg Var Dig
Domenico Modugno,1959,Italy,Piove
Bob Benny,1959,Belgium,Hou Toch Van Mij
Alice and Ellen Kessler,1959,Germany,Heut' Woll'n Wir Tanzen Geh'n
Brita Borg,1959,Sweden,Augustin
Ferry Graf,1959,Austria,Der K. Und K. Kalypso Aus Wien
Jacques Pills,1959,Monaco,Mon Ami Pierrot
Jacqueline Boyer,1960,France,Tom Pillibi
Bryan Johnson,1960,United Kingdom,Looking High High High
François Deguelt,1960,Monaco,Ce Soir-là
Nora Brockstedt,1960,Norway,Voi-voi
Wyn Hoop,1960,Germany,Bonne Nuit Ma Chérie!
Fud Leclerc,1960,Belgium,Mon Amour Pour Toi
Harry Winter,1960,Austria,Du Hast Mich So Fasziniert
Anita Traversi,1960,Switzerland,Cielo E Terra
Renato Rascel,1960,Italy,Romantica
Siw Malmkvist,1960,Sweden,Alla Andra Får Varann
Katy Bødtger,1960,Denmark,Det Var En Yndig Tid
Rudi Carrell,1960,Netherlands,Wat Een Geluk
Camillo Felgen,1960,Luxembourg,So Laang We's Du Do Bast
Jean-Claude Pascal,1961,Luxembourg,Nous Les Amoureux
The Allisons,1961,United Kingdom,Are You Sure?
Franca di Rienzo,1961,Switzerland,Nous Aurons Demain
Jean-Paul Mauric,1961,France,Printemps (avril Carillonne)
Dario Campeotto,1961,Denmark,Angelique
Betty Curtis,1961,Italy,Al Di Là
Nora Brockstedt,1961,Norway,Sommer i Palma
Ljiljana Petrović,1961,Yugoslavia,Neke Davne Zvezde
Conchita Bautista,1961,Spain,Estando Contigo
Colette Deréal,1961,Monaco,Allons Allons Les Enfants
Laila Kinnunen,1961,Finland,Valoa Ikkunassa
Greetje Kauffeld,1961,Netherlands,Wat Een Dag
Lale Andersen,1961,Germany,Einmal Sehen Wir Uns Wieder
Lill-Babs,1961,Sweden,April April
Jimmy Makulis,1961,Austria,Sehnsucht
Bob Benny,1961,Belgium,September Gouden Roos
Isabelle Aubret,1962,France,Un Premier Amour
François Deguelt,1962,Monaco,Dis Rien
Camillo Felgen,1962,Luxembourg,Petit Bonhomme
Lola Novaković,1962,Yugoslavia,Ne Pali Svetlo U Sumrak
Ronnie Carroll,1962,United Kingdom,Ring-a-ding Girl
Conny Froboess,1962,Germany,Zwei Kleine Italiener
Marion Rung,1962,Finland,Tipi-tii
Inger Berggren,1962,Sweden,Sol Och Vår
Claudio Villa,1962,Italy,Addio Addio
Ellen Winther,1962,Denmark,Vuggevise
Inger Jacobsen,1962,Norway,Kom Sol Kom Regn
Jean Philippe,1962,Switzerland,Le Retour
Fud Leclerc,1962,Belgium,Ton Nom
Victor Balaguer,1962,Spain,Llámame
Eleonore Schwarz,1962,Austria,Nur In Der Wiener Luft
De Spelbrekers,1962,Netherlands,Katinka
Grethe & Jørgen Ingmann,1963,Denmark,Dansevise
Esther Ofarim,1963,Switzerland,T'en Va Pas
Emilio Pericoli,1963,Italy,Uno Per Tutte
Ronnie Carroll,1963,United Kingdom,Say Wonderful Things
Alain Barrière,1963,France,Elle était Si Jolie
Françoise Hardy,1963,Monaco,L'amour S'en Va
Carmela Corren,1963,Austria,Vielleicht Geschieht Ein Wunder
Nana Mouskouri,1963,Luxembourg,A Force De Prier
Heidi Brühl,1963,Germany,Marcel
Jacques Raymond,1963,Belgium,Waarom
Vice Vukov,1963,Yugoslavia,Brodovi
José Guardiola,1963,Spain,Algo Prodigioso
Annie Palmen,1963,Netherlands,Een Speeldoos
Anita Thallaug,1963,Norway,Solhverv
Laila Halme,1963,Finland,Muistojeni Laulu
Monica Zetterlund,1963,Sweden,En Gång I Stockholm
Gigliola Cinquetti,1964,Italy,Non Ho L'étà
Matt Monro,1964,United Kingdom,I Love The Little Things
Romuald,1964,Monaco,Où Sont-elles Passées?
Hugues Aufray,1964,Luxembourg,Dès Que Le Printemps Revient
Rachel,1964,France,Le Chant De Mallory
Udo Jürgens,1964,Austria,Warum Nur Warum?
Lasse Mårtenson,1964,Finland,Laiskotellen
Arne Bendiksen,1964,Norway,Spiral
Bjørn Tidmand,1964,Denmark,Sangen Om Dig
Anneke Grönloh,1964,Netherlands,Jij Bent Mijn Leven
Robert Cogoi,1964,Belgium,Près De Ma Rivière
Tim Nelly and Tony,1964,Spain,Caracola
Nora Nova,1964,Germany,Man Gewöhnt Sich So Schnell An Das Schöne
António Calvário,1964,Portugal,Oração
Sabahudin Kurt,1964,Yugoslavia,Život je sklopio krug
Anita Traversi,1964,Switzerland,I Miei Pensieri
France Gall,1965,Luxembourg,Poupée De Cire Poupée De Son
Kathy Kirby,1965,United Kingdom,I Belong
Guy Mardel,1965,France,N'avoue Jamais
Udo Jürgens,1965,Austria,Sag Ihr Ich Lass' Sie Grüßen
Bobby Solo,1965,Italy,Se Piangi Se Ridi
Butch Moore,1965,Ireland,I'm Walking The Streets In The Rain
Birgit Brüel,1965,Denmark,For Din Skyld
Yovanna,1965,Switzerland,Non à Jamais Sans Toi
Marjorie Noël,1965,Monaco,Va Dire à L'amour
Ingvar Wixell,1965,Sweden,Absent Friend
Conny Van den bos,1965,Netherlands,Het Is Genoeg
Vice Vukov,1965,Yugoslavia,Ceznja
Kirsti Sparboe,1965,Norway,Karusell
Simone de Oliviera,1965,Portugal,Sol De Inverno
Conchita Bautista,1965,Spain,Qué Bueno Qué Bueno
Ulla Wiesner,1965,Germany,Paradies Wo Bist Du?
Lize Marke,1965,Belgium,Als Het Weer Lente Is
Viktor Klimenko,1965,Finland,Aurinko Laskee Länteen
Udo Jürgens,1966,Austria,Merci Chérie
Lill Lindfors & Svante Thuresson,1966,Sweden,Nygammal Vals
Åse Kleveland,1966,Norway,Intet Er Nytt Under Solen
Tonia,1966,Belgium,Un Peu De Poivre Un Peu De Sel
Dickie Rock,1966,Ireland,Come Back To Stay
Madeleine Pascal,1966,Switzerland,Ne Vois-tu Pas?
Berta Ambroz,1966,Yugoslavia,Brez Besed
Raphael,1966,Spain,Yo Soy Aquél
Kenneth McKellar,1966,United Kingdom,A Man Without Love
Margot Eskens,1966,Germany,Die Zeiger Der Uhr
Michèle Torr,1966,Luxembourg,Ce Soir Je T'attendais
Ann-Christine Nyström,1966,Finland,Play-boy
Madalena Iglesias,1966,Portugal,Ele E Ela
Ulla Pia,1966,Denmark,Stop Ja Stop - Ja Stop Mens Legen Er Go
Milly Scott,1966,Netherlands,Fernando En Philippo
Dominique Walter,1966,France,Chez Nous
Tereza,1966,Monaco,Bien Plus Fort
Domenico Modugno,1966,Italy,Dio Come Ti Amo
Sandie Shaw,1967,United Kingdom,Puppet On A String
Sean Dunphy,1967,Ireland,If I Could Choose
Noëlle Cordier,1967,France,Il Doit Faire Beau Là-bas
Vicky,1967,Luxembourg,L'amour Est Bleu
Minouche Barelli,1967,Monaco,Boum-badaboum
Raphael,1967,Spain,Hablemos Del Amor
Louis Neefs,1967,Belgium,Ik Heb Zorgen
Östen Warnerbring,1967,Sweden,Som En Dröm
Inge Brück,1967,Germany,Anouschka
Lado Leskovar,1967,Yugoslavia,Vse Rože Sveta
