song,year,place_final,points_final,to_country
Net Als Toen,1957,1,31,Netherlands
La Belle Amour,1957,2,17,France
Skibet Skal Sejle I Nat,1957,3,10,Denmark
Amours Mortes (Tant De Peine),1957,4,8,Luxembourg
Telefon Telefon,1957,4,8,Germany
Corde Della Mia Chitarra,1957,6,7,Italy
All,1957,7,6,United Kingdom
Straatdeuntje,1957,8,5,Belgium
L'enfant Que J'étais,1957,8,5,Switzerland
Wohin Kleines Pony,1957,10,3,Austria
Dors Mon Amour,1958,1,27,France
Giorgio,1958,2,24,Switzerland
Nel Blu Dipinto Di Blu,1958,3,13,Italy
Lilla Stjärna,1958,4,10,Sweden
Ma Petite Chatte,1958,5,8,Belgium
Die Ganze Welt Braucht Liebe,1958,5,8,Austria
Für Zwei Groschen Musik,1958,7,5,Germany
Jeg Rev Et Blad Ud Af Min Dagbog,1958,8,3,Denmark
Heel De Wereld,1958,9,1,Netherlands
Un Grand Amour,1958,9,1,Luxembourg
Een Beetje,1959,1,21,Netherlands
Sing Little Birdie,1959,2,16,United Kingdom
Oui Oui Oui Oui,1959,3,15,France
Irgendwoher,1959,4,14,Switzerland
Uh Jeg Ville Ønske Jeg Var Dig,1959,5,12,Denmark
Piove,1959,6,9,Italy
Hou Toch Van Mij,1959,6,9,Belgium
Heut' Woll'n Wir Tanzen Geh'n,1959,8,5,Germany
Augustin,1959,9,4,Sweden
Der K. Und K. Kalypso Aus Wien,1959,9,4,Austria
Mon Ami Pierrot,1959,11,1,Monaco
Tom Pillibi,1960,1,32,France
Looking High High High,1960,2,25,United Kingdom
Ce Soir-là,1960,3,15,Monaco
Voi-voi,1960,4,11,Norway
Bonne Nuit Ma Chérie!,1960,4,11,Germany
Mon Amour Pour Toi,1960,6,9,Belgium
Du Hast Mich So Fasziniert,1960,7,6,Austria
Cielo E Terra,1960,8,5,Switzerland
Romantica,1960,8,5,Italy
Alla Andra Får Varann,1960,10,4,Sweden
Det Var En Yndig Tid,1960,10,4,Denmark
Wat Een Geluk,1960,12,2,Netherlands
So Laang We's Du Do Bast,1960,13,1,Luxembourg
Nous Les Amoureux,1961,1,31,Luxembourg
Are You Sure?,1961,2,24,United Kingdom
Nous Aurons Demain,1961,3,16,Switzerland
Printemps (avril Carillonne),1961,4,13,France
Angelique,1961,5,12,Denmark
Al Di Là,1961,5,12,Italy
Sommer i Palma,1961,7,10,Norway
Neke Davne Zvezde,1961,8,9,Yugoslavia
Estando Contigo,1961,9,8,Spain
Allons Allons Les Enfants,1961,10,6,Monaco
Valoa Ikkunassa,1961,10,6,Finland
Wat Een Dag,1961,10,6,Netherlands
Einmal Sehen Wir Uns Wieder,1961,13,3,Germany
April April,1961,14,2,Sweden
Sehnsucht,1961,15,1,Austria
September Gouden Roos,1961,15,1,Belgium
Un Premier Amour,1962,1,26,France
Dis Rien,1962,2,13,Monaco
Petit Bonhomme,1962,3,11,Luxembourg
Ne Pali Svetlo U Sumrak,1962,4,10,Yugoslavia
Ring-a-ding Girl,1962,4,10,United Kingdom
Zwei Kleine Italiener,1962,6,9,Germany
Tipi-tii,1962,7,4,Finland
Sol Och Vår,1962,7,4,Sweden
Addio Addio,1962,9,3,Italy
