year,to_country,song
1956,Switzerland,Refrain
1956,Netherlands,De Vogels Van Holland
1956,Belgium,Messieurs Les Noyés De La Seine
1956,Germany,Im Wartesaal Zum Großen Glück
1956,France,Le Temps Perdu
1956,Luxembourg,Ne Crois Pas
1956,Italy,Aprite Le Finestre
1956,Netherlands,Voorgoed Voorbij
1956,Belgium,Le Plus Beau Jour De Ma Vie
1956,Germany,So Geht Das Jede Nacht
1956,France,Il Est Là
1956,Italy,Amami Se Vuoi
1957,Netherlands,Net Als Toen
1957,France,La Belle Amour
1957,Denmark,Skibet Skal Sejle I Nat
1957,Luxembourg,Amours Mortes (Tant De Peine)
1957,Germany,Telefon Telefon
1957,Italy,Corde Della Mia Chitarra
1957,United Kingdom,All
1957,Belgium,Straatdeuntje
1957,Switzerland,L'enfant Que J'étais
1957,Austria,Wohin Kleines Pony
1958,France,Dors Mon Amour
1958,Switzerland,Giorgio
1958,Italy,Nel Blu Dipinto Di Blu
1958,Sweden,Lilla Stjärna
1958,Belgium,Ma Petite Chatte
1958,Austria,Die Ganze Welt Braucht Liebe
1958,Germany,Für Zwei Groschen Musik
1958,Denmark,Jeg Rev Et Blad Ud Af Min Dagbog
1958,Netherlands,Heel De Wereld
1958,Luxembourg,Un Grand Amour
1959,Netherlands,Een Beetje
1959,United Kingdom,Sing Little Birdie
1959,France,Oui Oui Oui Oui
1959,Switzerland,Irgendwoher
1959,Denmark,Uh Jeg Ville Ønske Jeg Var Dig
1959,Italy,Piove
1959,Belgium,Hou Toch Van Mij
1959,Germany,Heut' Woll'n Wir Tanzen Geh'n
1959,Sweden,Augustin
1959,Austria,Der K. Und K. Kalypso Aus Wien
1959,Monaco,Mon Ami Pierrot
1960,France,Tom Pillibi
1960,United Kingdom,Looking High High High
1960,Monaco,Ce Soir-là
1960,Norway,Voi-voi
1960,Germany,Bonne Nuit Ma Chérie!
1960,Belgium,Mon Amour Pour Toi
1960,Austria,Du Hast Mich So Fasziniert
1960,Switzerland,Cielo E Terra
1960,Italy,Romantica
1960,Sweden,Alla Andra Får Varann
1960,Denmark,Det Var En Yndig Tid
1960,Netherlands,Wat Een Geluk
1960,Luxembourg,So Laang We's Du Do Bast
1961,Luxembourg,Nous Les Amoureux
1961,United Kingdom,Are You Sure?
1961,Switzerland,Nous Aurons Demain
1961,France,Printemps (avril Carillonne)
1961,Denmark,Angelique
1961,Italy,Al Di Là
1961,Norway,Sommer i Palma
1961,Yugoslavia,Neke Davne Zvezde
1961,Spain,Estando Contigo
1961,Monaco,Allons Allons Les Enfants
1961,Finland,Valoa Ikkunassa
1961,Netherlands,Wat Een Dag
1961,Germany,Einmal Sehen Wir Uns Wieder
1961,Sweden,April April
1961,Austria,Sehnsucht
1961,Belgium,September Gouden Roos
1962,France,Un Premier Amour
1962,Monaco,Dis Rien
1962,Luxembourg,Petit Bonhomme
1962,Yugoslavia,Ne Pali Svetlo U Sumrak
1962,United Kingdom,Ring-a-ding Girl
1962,Germany,Zwei Kleine Italiener
1962,Finland,Tipi-tii
1962,Sweden,Sol Och Vår
1962,Italy,Addio Addio
1962,Denmark,Vuggevise
1962,Norway,Kom Sol Kom Regn
1962,Switzerland,Le Retour
1962,Belgium,Ton Nom
1962,Spain,Llámame
1962,Austria,Nur In Der Wiener Luft
1962,Netherlands,Katinka
1963,Denmark,Dansevise
1963,Switzerland,T'en Va Pas
1963,Italy,Uno Per Tutte
1963,United Kingdom,Say Wonderful Things
1963,France,Elle était Si Jolie
