year,to_country,song
2020,France,The Best in Me
2020,Germany,Violent Thing
2020,Italy,Fai rumore
2020,Netherlands,Grow
2020,Spain,Universo
2020,United Kingdom,My Last Breath
2020,Australia,Don't Break Me
2020,Belarus,Da vidna
2020,Ireland,Story Of My Life
2020,Lithuania,On Fire
2020,North Macedonia,You
2020,Russia,Uno
2020,Slovenia,Voda
2020,Sweden,Move
2020,Azerbaijan,Cleopatra
2020,Belgium,Release Me
2020,Croatia,Divlji vjetre
2020,Cyprus,Running
2020,Israel,Feker Libi
2020,Malta,All Of My Love
2020,Norway,Attention
2020,Romania,Alcohol You
2020,Ukraine,Solovey
2020,Austria,Alive
2020,Czech Republic,Kemama
2020,Estonia,What Love Is
2020,Greece,Superg!rl​
2020,Iceland,Think About Things
2020,Moldova,Prison
2020,Poland,Empires
2020,San Marino,Freaky!
2020,Serbia,Hasta la vista
2020,Albania,Fall From The Sky
2020,Armenia,Chains On You
2020,Bulgaria,Tears Getting Sober
2020,Denmark,Yes
2020,Finland,Looking Back
2020,Georgia,Take Me As I Am
2020,Latvia,Still Breathing
2020,Portugal,Medo de sentir
2020,Switzerland,Répondez-moi
